txtDescricao;numAno;vlrDocumento;vlrGlosa;vlrLiquido;codLegislatura
LOCAÇÃO OU FRETAMENTO DE AERONAVES;2015;2799230.07;0.0;2773230.07;17358
SERVIÇOS POSTAIS;2018;2746978.21;508.93;2746469.28;1025310
PASSAGEM AÉREA - REEMBOLSO;2017;2536799.13;2645.0699999999997;2529350.58;122650
LOCAÇÃO OU FRETAMENTO DE AERONAVES;2018;2530125.99;0.0;2490782.99;12650
PASSAGEM AÉREA - REEMBOLSO;2016;2306699.14;8663.28;2295070.76;125950
HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.;2018;2177280.79;15969.42;2161007.37;437415
PASSAGEM AÉREA - REEMBOLSO;2018;2078346.59;1720.15;2076626.44;93280
HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.;2015;2063664.45;23624.18;2016238.5;294781
HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.;2014;2040747.36;43214.87;1997510.83;330588
FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR;2015;2050372.91;38566.89;1977912.14;1837355
SERVIÇOS POSTAIS;2019;1922829.94;469.12;1922305.37;836529
HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.;2010;1976949.45;54985.93;1921963.52;349270
HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.;2016;1938015.91;16000.6;1916751.14;326865
HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.;2017;1926191.91;14125.55;1911404.26;379225
HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.;2013;1898069.24;35377.95;1860531.19;321084
PASSAGEM AÉREA - REEMBOLSO;2021;1857150.45;2116.04;1852191.94;77952
FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR;2011;1889102.88;67194.44;1822721.08;1540623
HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.;2011;1894118.4;85670.94;1808447.42;290170
HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.;2019;1807748.36;36231.0;1764405.07;311954
SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.;2016;1754034.79;14249.91;1739742.63;52470
FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR;2013;1770449.86;39564.05;1718592.8800000001;1435212
HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.;2012;1734152.37;46085.97;1687907.94;292140
HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.;2021;1684478.28;8328.13;1676065.15;349328
SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.;2017;1674133.68;8546.65;1663476.47;52140
SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.;2015;1591178.86;18320.16;1570037.39;46297
TELEFONIA;2022;1627023.42;73690.33;1548099.78;340872
FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR;2012;1596131.32;53594.9;1538973.76;1302318
LOCAÇÃO OU FRETAMENTO DE AERONAVES;2020;1532057.0;0.0;1532057.0;5600
FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR;2016;1556747.12;20403.55;1510579.43;1436545
LOCAÇÃO OU FRETAMENTO DE AERONAVES;2019;1465365.0;0.0;1457365.0;6990
FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR;2010;1494590.63;37868.97;1456023.81;1153863
SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.;2014;1521833.71;48006.82;1445518.81;44712
FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR;2014;1478260.66;29583.53;1439999.48;1169856
SERVIÇOS POSTAIS;2021;1411559.76;728.02;1410831.74;417760
SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.;2011;1465558.05;71842.12;1398215.93;50257
LOCAÇÃO OU FRETAMENTO DE AERONAVES;2021;1334124.9;0.0;1334124.9;4872
SERVIÇOS POSTAIS;2020;1273527.83;110.41;1273417.42;388416
PASSAGEM AÉREA - REEMBOLSO;2020;1257932.67;820.6500000000001;1257112.02;64624
SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.;2018;1238201.99;1842.35;1234981.55;42680
SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.;2010;1263315.16;72177.06;1191138.1;48389
HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.;2022;1178962.26;4372.99;1174269.53;234976
PASSAGEM AÉREA - REEMBOLSO;2014;1129540.82;12001.32;1117539.52;73494
SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.;2013;1156019.23;52331.84;1094165.69;45738
SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.;2012;1126987.05;43545.96;1086378.96;48924
SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.;2019;1092091.24;218.58;1086086.94;31492
FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR;2017;1088408.67;13287.65;1051765.74;1104730
SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO;2017;1034105.02;13434.69;1009443.65;1587135
SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.;2020;1001054.6799999999;5459.2300000000005;995533.59;34664
