sgPartido;numAno;vlrDocumento;vlrGlosa;vlrLiquido;codLegislatura
SDD;2011;7205440.69;118123.22;7087808.12;690282
PROS;2013;7084173.996118;35619.7;7009443.42;564300
PTB;2012;6942791.29;121877.04;6807944.26;591624
PTB;2013;6936837.32546;106617.81;6739940.01;615222
PCdoB;2014;6783737.937386;57003.09;6704447.1;630234
PDT;2020;6668212.97;19763.82;6642484.17;311080
PDT;2014;6733138.620418;86961.32;6633753.85;541620
PDT;2013;6719646.88155;39616.04;6622029.95;620568
PROS;2012;6678870.59;75678.48;6601697.03;551502
PODE;2015;6645045.99081;18419.15;6588817.81;684303
MDB;2022;6594039.02;28609.87;6560514.07;371056
PCdoB;2017;6553511.97;22683.32;6480162.17;497255
PSB;2020;6222926.1;23337.9;6199167.17;359744
PSB;2009;6135717.49;42433.11;6156421.42;704211
PROS;2011;6130780.08;88106.41;6043579.44;562733
PCdoB;2015;6025196.56743;34826.6;5964144.38;573748
PCdoB;2013;5889492.492521;40014.42;5817902.85;637632
PCdoB;2016;5752656.91;22046.19;5704563.69;527890
PDT;2012;5787025.16;101480.58;5679092.49;541890
PDT;2011;5677938.62;102446.41;5575492.14;536350
PCdoB;2011;5689387.68;128342.55;5561045.08;584469
PTB;2009;5535769.46;75843.13;5547117.29;406298
PDT;2009;5405173.36;72160.92;5417141.99;562012
PSC;2010;5312451.11;61877.03;5250587.78;564397
PSC;2014;5289946.5266;26179.86;5248906.55;469800
PSC;2013;5254160.233949;16090.79;5205629.48;509166
PCdoB;2012;5227693.09;72812.39;5146571.96;526176
PSC;2012;5210954.34;65732.41;5142564.7;511920
PCdoB;2018;5135061.39;17060.12;5114049.38;331320
PROS;2018;5030825.65;30771.309999999998;4978867.76;294745
PROS;2017;4824188.41;14060.3;4807217.45;383295
PSC;2011;4860916.11;97998.56;4762568.35;483444
SOLIDARIEDADE;2016;4499243.4;20481.239999999998;4478712.1;316195
PROS;2016;4490486.2;18405.420000000002;4456474.8;349690
PPS;2010;4494853.15;73324.05;4422622.37;632873
