txNomeParlamentar;sgPartido;codLegislatura;numAno;vlrDocumento;vlrGlosa;vlrLiquido;nomeEsgPartido
LUIZ CARLOS RAMOS;PR;55;2019;35744.71;31.89;35712.82;LUIZ CARLOS RAMOS (PR)
INDIO DA COSTA;PSD;55;2019;37342.4;0.0;35694.340000000004;INDIO DA COSTA (PSD)
LUCI CHOINACKI;PT;54;2015;35900.5884;0.0;35687.89;LUCI CHOINACKI (PT)
ARIOSTO HOLANDA;PROS;54;2015;35675.35;3.91;35671.44;ARIOSTO HOLANDA (PROS)
LÁZARO BOTELHO;PP;55;2019;35882.78;239.77;35643.01;LÁZARO BOTELHO (PP)
GERALDO THADEU;PPS;53;2011;35747.34;118.34;35629.0;GERALDO THADEU (PPS)
Átila Lira;PSB;55;2019;36300.92;675.37;35625.55;Átila Lira (PSB)
OZIEL OLIVEIRA;PDT;54;2015;35617.273010000004;0.0;35617.270000000004;OZIEL OLIVEIRA (PDT)
Bilac Pinto;DEM;55;2019;35666.44;124.97;35541.47;Bilac Pinto (DEM)
HEULER CRUVINEL;PP;55;2019;37073.58;0.0;35526.08;HEULER CRUVINEL (PP)
NILSON LEITÃO;PSDB;55;2019;35538.06;41.0;35497.06;NILSON LEITÃO (PSDB)
EUDES XAVIER;PT;54;2015;35420.87;0.0;35420.87;EUDES XAVIER (PT)
MARCELO AGUIAR;DEM;54;2015;35727.48;300.0;35412.06;MARCELO AGUIAR (DEM)
EDINHO BEZ;PMDB;54;2015;35475.67;67.56;35408.11;EDINHO BEZ (PMDB)
SEBASTIÃO BALA ROCHA;SDD;54;2015;35396.44;0.0;35396.44;SEBASTIÃO BALA ROCHA (SDD)
MÁRIO FEITOZA;PMDB;54;2015;37393.917;2000.0;35393.92;MÁRIO FEITOZA (PMDB)
CAJAR NARDES;PODE;55;2019;35379.1;0.0;35379.1;CAJAR NARDES (PODE)
Rodrigo de Castro;PSDB;55;2019;35436.840000000004;89.75;35347.09;Rodrigo de Castro (PSDB)
SILVIO COSTA;PSC;54;2015;35344.123;17.65;35326.48;SILVIO COSTA (PSC)
ASSIS DO COUTO;PDT;55;2019;35323.57;12.39;35311.18;ASSIS DO COUTO (PDT)
